,requirement,description,skills,price
0,Build a e-commerce website using WordPress Woocommerce,"Hey everybody, I hope everyone is doing well, the details that will be written below are just rudimentary things

I need a expert person who has time and experience, it is not the first time for me to build a private website or store, for this I have sufficient experience and knowledge and I need someone who will honor me to be among my priorities in building my current and upcoming projects.


I do not want to talk about the project here in front of everyone, but it is a shop that sells flowers & plants and I have examples of it. I can also make a complete document, explaining the mechanism of work, and everything will be according to a certain logic.

Quick response, and understanding.. I hope that only a professional and confident person from his work will come....","eCommerce
HTML
PHP
Website Design
WordPress",$750 - $1500
1,finish wordpress plugin.,"I have a WordPress Plugin that needs to be completed this week.
Below is the link to the requirements:


Do you agree with my budget and deadline?","CSS
HTML
JavaScript
PHP
WordPress",$65 - $70
2,DotNet developers required for errors removal in Notetor.com thenafter Host on server -- 3,"DotNet developers required for errors removal in  thenafter Host on server. Lots of good opportunities and financial benefits for DotNet, Xamarin, Cordova, Android, iOS developers after Launch. 
Website address- 
User emailid- @gmail.c
Password- kaspersky
Explaining 'Basic functionalities' link is below-

Explaining 'Error list' video links is below-",".NET
.NET 5.0/6
ASP.NET MVC
SQL",$8 - $19
3,Do Current Online Coding Tutorial Systems Address Novice Programmer Difficulties? -- 2,I have written a research paper on the Overleaf platform and submitted it to a good conference but it was rejected and I got helpful feedback to improve it. I need an excellent writer to help me with that.,"Article Rewriting
Article Writing
Computer Science
Research Writing
Technical Writing","$40
                                (Avg Bid)"
4,Housewarming gift,"I have an image I would like to frame as a gift. It's nice enough but could be better if a couple items were edited out like,  The orange bag The two drinks cans The yellow tape at the side of the bench The bag strap","Graphic Design
Illustrator
Photo Editing
Photoshop
Photoshop Design","$358
                                (Avg Bid)"
5,I need a business proposal writer,Customer specific business proposal that is professional and looks very nice,"Business Analysis
Business Plans
Business Writing
Research Writing
Technical Writing","$807
                                (Avg Bid)"
6,I need to render a Furniture Presentation Picture with European Ambiente,"We have a collection of furniture which needs to be presented as a rendered realistic Picture. There are 4-5 different furniture cabinets or shelf which shall be in the rendered picture.

One example as finished artwork has been provided to show you what is expected to achieve.

Thank you.","3D Animation
3D Modelling
3D Rendering
3ds Max
Photoshop","$161
                                (Avg Bid)"
7,Woocommerce Wordpress Shipping Plugin Developer,"Hello,
I need a shipping plugin for woocommerce wordpress, this is to help shipping with NIPOST EMS Nigeria to all customers globally. The plugin will have a test and live mode, this can be switched with the click of a button. Please review the attached for the EMS Signup details

In addition, find attached shipping api integration code for your attention. 

Please review and advise me of the following:
1. Delivery timeline of the plugin development?
2. Cost of development of the plugin?

I await your response.

Kind regards","PHP
Shipping
WooCommerce
WordPress
WordPress Plugin","$163
                                (Avg Bid)"
8,Build me a Website,I need static one page website,"Graphic Design
HTML
PHP
Website Design
WordPress","$17
                                (Avg Bid)"
9,I need app developer for my project.,I am looking for native app developer for my projects.,"Android
Mobile App Development
Node.js
React Native
React.js","$332
                                (Avg Bid)"
10,Certified native German teacher/tutor,"Dear teachers/tutors. We´re looking for a native German teacher for a short-term project. More projects in the future very likely.
Kind regards
Olga","English (UK) Translator
English (US) Translator
German Translator
Research Writing
Translation","$300
                                (Avg Bid)"
11,Political-Economics Research,"I will require factual research about some information on specific countries:

Example of some stuffs that will be required to be researched and provided (with source: where did you get the information):
- latest GDP figure
- average income
- latest unemployment rate
- if there are any protests, and what protests are they
- gold reserve
- inflation rate
etc...

This is part of a larger project, where the information will be used to generate analysis of the stability of a country as well as projection into what is to come.

This will be a long term ongoing project should your work proved to be satisfactory or good.","Financial Research
Internet Research
Report Writing
Research
Research Writing","$5 / hr
                                (Avg Bid)"
12,Job portal needed,Hi Job portal ready website needed,"Graphic Design
HTML
MySQL
PHP
Website Design","$141
                                (Avg Bid)"
13,CAB SERVICE,Meru initiated the ride- hailing revolution in India where customers could easily have an AC cab at their doorstep with a single call. This goes way back in time when the black and yellow taxis (Kaali-peeli taxis) largely dominated our city roads.,"Bootstrap
CSS3
HTML5
JavaScript
Python","$29 / hr
                                (Avg Bid)"
14,Build me a website,With a referance website ı want you to build me a website similar.,"Graphic Design
HTML
PHP
Website Design
WordPress","$68
                                (Avg Bid)"
15,Video editor,I have to get my video edited for my youtube channel.,"After Effects
Video Editing
Video Production
Video Services
Videography","$10
                                (Avg Bid)"
16,Housewarming gift -- 2,"I have an image I would like to frame as a gift. It's nice enough but could be better if a couple items were edited out like,

The orange bag
The two drinks cans
The yellow tape at the side of the bench
The bag strap","Photo Editing
Photoshop","$17
                                (Avg Bid)"
17,PrestaShop Design Facelift,"Improve the design, UX/UI and user flow of 
Areas of improvement:
- Product page
- Category page
- Check out process
- Cart","Graphic Design
HTML
PHP
Prestashop
Website Design","$441
                                (Avg Bid)"
